nohup: ignoring input
cuda
3
step: 0, train loss: 1.033, val loss: 1.034
step: 10, train loss: 0.234, val loss: 0.228
step: 20, train loss: 0.228, val loss: 0.217
step: 30, train loss: 0.212, val loss: 0.216
step: 40, train loss: 0.216, val loss: 0.209
step: 50, train loss: 0.209, val loss: 0.210
step: 60, train loss: 0.207, val loss: 0.206
step: 70, train loss: 0.214, val loss: 0.206
step: 80, train loss: 0.213, val loss: 0.206
step: 90, train loss: 0.212, val loss: 0.210
step: 100, train loss: 0.212, val loss: 0.206
step: 110, train loss: 0.214, val loss: 0.206
step: 120, train loss: 0.210, val loss: 0.205
step: 130, train loss: 0.210, val loss: 0.214
step: 140, train loss: 0.212, val loss: 0.209
step: 150, train loss: 0.210, val loss: 0.208
step: 160, train loss: 0.207, val loss: 0.210
step: 170, train loss: 0.213, val loss: 0.209
step: 180, train loss: 0.215, val loss: 0.206
step: 190, train loss: 0.215, val loss: 0.207
step: 200, train loss: 0.212, val loss: 0.209
step: 210, train loss: 0.210, val loss: 0.206
step: 220, train loss: 0.206, val loss: 0.208
step: 230, train loss: 0.209, val loss: 0.208
step: 240, train loss: 0.205, val loss: 0.207
step: 250, train loss: 0.212, val loss: 0.206
step: 260, train loss: 0.209, val loss: 0.205
step: 270, train loss: 0.208, val loss: 0.203
step: 280, train loss: 0.206, val loss: 0.205
step: 290, train loss: 0.211, val loss: 0.207
step: 300, train loss: 0.211, val loss: 0.205
step: 310, train loss: 0.217, val loss: 0.204
step: 320, train loss: 0.205, val loss: 0.210
step: 330, train loss: 0.204, val loss: 0.209
step: 340, train loss: 0.210, val loss: 0.204
step: 350, train loss: 0.206, val loss: 0.205
step: 360, train loss: 0.207, val loss: 0.204
step: 370, train loss: 0.210, val loss: 0.204
step: 380, train loss: 0.210, val loss: 0.199
step: 390, train loss: 0.213, val loss: 0.203
step: 400, train loss: 0.208, val loss: 0.207
step: 410, train loss: 0.207, val loss: 0.206
step: 420, train loss: 0.209, val loss: 0.210
step: 430, train loss: 0.212, val loss: 0.204
step: 440, train loss: 0.207, val loss: 0.202
step: 450, train loss: 0.207, val loss: 0.204
step: 460, train loss: 0.207, val loss: 0.203
step: 470, train loss: 0.208, val loss: 0.206
step: 480, train loss: 0.211, val loss: 0.207
step: 490, train loss: 0.213, val loss: 0.200
step: 500, train loss: 0.214, val loss: 0.205
step: 510, train loss: 0.207, val loss: 0.206
step: 520, train loss: 0.211, val loss: 0.206
step: 530, train loss: 0.207, val loss: 0.204
step: 540, train loss: 0.213, val loss: 0.206
step: 550, train loss: 0.206, val loss: 0.205
step: 560, train loss: 0.205, val loss: 0.207
step: 570, train loss: 0.200, val loss: 0.202
step: 580, train loss: 0.200, val loss: 0.201
step: 590, train loss: 0.209, val loss: 0.206
step: 600, train loss: 0.211, val loss: 0.199
step: 610, train loss: 0.206, val loss: 0.202
step: 620, train loss: 0.207, val loss: 0.203
step: 630, train loss: 0.203, val loss: 0.206
step: 640, train loss: 0.201, val loss: 0.204
step: 650, train loss: 0.205, val loss: 0.204
step: 660, train loss: 0.206, val loss: 0.196
step: 670, train loss: 0.204, val loss: 0.202
step: 680, train loss: 0.205, val loss: 0.199
step: 690, train loss: 0.198, val loss: 0.202
step: 700, train loss: 0.200, val loss: 0.198
step: 710, train loss: 0.202, val loss: 0.199
step: 720, train loss: 0.199, val loss: 0.200
step: 730, train loss: 0.200, val loss: 0.198
step: 740, train loss: 0.198, val loss: 0.198
step: 750, train loss: 0.199, val loss: 0.202
step: 760, train loss: 0.203, val loss: 0.196
step: 770, train loss: 0.205, val loss: 0.198
step: 780, train loss: 0.201, val loss: 0.199
step: 790, train loss: 0.202, val loss: 0.197
step: 800, train loss: 0.206, val loss: 0.197
step: 810, train loss: 0.196, val loss: 0.196
step: 820, train loss: 0.201, val loss: 0.201
step: 830, train loss: 0.200, val loss: 0.202
step: 840, train loss: 0.199, val loss: 0.201
step: 850, train loss: 0.201, val loss: 0.191
step: 860, train loss: 0.205, val loss: 0.196
step: 870, train loss: 0.198, val loss: 0.198
step: 880, train loss: 0.203, val loss: 0.198
step: 890, train loss: 0.205, val loss: 0.197
step: 900, train loss: 0.201, val loss: 0.192
step: 910, train loss: 0.199, val loss: 0.197
step: 920, train loss: 0.200, val loss: 0.198
step: 930, train loss: 0.203, val loss: 0.193
step: 940, train loss: 0.202, val loss: 0.194
step: 950, train loss: 0.200, val loss: 0.196
step: 960, train loss: 0.204, val loss: 0.194
step: 970, train loss: 0.200, val loss: 0.195
step: 980, train loss: 0.199, val loss: 0.198
step: 990, train loss: 0.200, val loss: 0.199
step: 1000, train loss: 0.197, val loss: 0.202
step: 1010, train loss: 0.200, val loss: 0.196
step: 1020, train loss: 0.201, val loss: 0.198
step: 1030, train loss: 0.204, val loss: 0.197
step: 1040, train loss: 0.202, val loss: 0.200
step: 1050, train loss: 0.201, val loss: 0.197
step: 1060, train loss: 0.203, val loss: 0.198
step: 1070, train loss: 0.197, val loss: 0.194
step: 1080, train loss: 0.207, val loss: 0.198
step: 1090, train loss: 0.198, val loss: 0.199
step: 1100, train loss: 0.201, val loss: 0.198
step: 1110, train loss: 0.197, val loss: 0.198
step: 1120, train loss: 0.202, val loss: 0.197
step: 1130, train loss: 0.199, val loss: 0.192
step: 1140, train loss: 0.196, val loss: 0.200
step: 1150, train loss: 0.204, val loss: 0.196
step: 1160, train loss: 0.202, val loss: 0.193
step: 1170, train loss: 0.199, val loss: 0.200
step: 1180, train loss: 0.201, val loss: 0.197
step: 1190, train loss: 0.198, val loss: 0.200
step: 1200, train loss: 0.201, val loss: 0.199
step: 1210, train loss: 0.203, val loss: 0.195
step: 1220, train loss: 0.202, val loss: 0.198
step: 1230, train loss: 0.197, val loss: 0.196
step: 1240, train loss: 0.200, val loss: 0.199
step: 1250, train loss: 0.200, val loss: 0.199
step: 1260, train loss: 0.205, val loss: 0.199
step: 1270, train loss: 0.199, val loss: 0.198
step: 1280, train loss: 0.199, val loss: 0.197
step: 1290, train loss: 0.198, val loss: 0.197
step: 1300, train loss: 0.203, val loss: 0.193
step: 1310, train loss: 0.201, val loss: 0.199
step: 1320, train loss: 0.202, val loss: 0.197
step: 1330, train loss: 0.202, val loss: 0.200
step: 1340, train loss: 0.206, val loss: 0.195
step: 1350, train loss: 0.199, val loss: 0.197
step: 1360, train loss: 0.201, val loss: 0.196
step: 1370, train loss: 0.202, val loss: 0.202
step: 1380, train loss: 0.200, val loss: 0.196
step: 1390, train loss: 0.199, val loss: 0.194
step: 1400, train loss: 0.198, val loss: 0.199
step: 1410, train loss: 0.202, val loss: 0.195
step: 1420, train loss: 0.197, val loss: 0.196
step: 1430, train loss: 0.201, val loss: 0.195
step: 1440, train loss: 0.202, val loss: 0.198
step: 1450, train loss: 0.197, val loss: 0.192
step: 1460, train loss: 0.207, val loss: 0.195
step: 1470, train loss: 0.195, val loss: 0.199
step: 1480, train loss: 0.198, val loss: 0.195
step: 1490, train loss: 0.202, val loss: 0.204
step: 1500, train loss: 0.199, val loss: 0.196
step: 1510, train loss: 0.202, val loss: 0.199
step: 1520, train loss: 0.202, val loss: 0.197
step: 1530, train loss: 0.194, val loss: 0.198
step: 1540, train loss: 0.199, val loss: 0.200
step: 1550, train loss: 0.205, val loss: 0.201
step: 1560, train loss: 0.200, val loss: 0.197
step: 1570, train loss: 0.202, val loss: 0.197
step: 1580, train loss: 0.197, val loss: 0.199
step: 1590, train loss: 0.200, val loss: 0.194
step: 1600, train loss: 0.201, val loss: 0.195
step: 1610, train loss: 0.196, val loss: 0.194
step: 1620, train loss: 0.202, val loss: 0.201
step: 1630, train loss: 0.199, val loss: 0.197
step: 1640, train loss: 0.198, val loss: 0.193
step: 1650, train loss: 0.196, val loss: 0.195
step: 1660, train loss: 0.203, val loss: 0.199
step: 1670, train loss: 0.199, val loss: 0.199
step: 1680, train loss: 0.200, val loss: 0.197
step: 1690, train loss: 0.210, val loss: 0.196
step: 1700, train loss: 0.195, val loss: 0.196
step: 1710, train loss: 0.198, val loss: 0.199
step: 1720, train loss: 0.198, val loss: 0.195
step: 1730, train loss: 0.200, val loss: 0.200
step: 1740, train loss: 0.195, val loss: 0.196
step: 1750, train loss: 0.200, val loss: 0.193
step: 1760, train loss: 0.198, val loss: 0.192
step: 1770, train loss: 0.203, val loss: 0.198
step: 1780, train loss: 0.201, val loss: 0.196
step: 1790, train loss: 0.203, val loss: 0.195
step: 1800, train loss: 0.198, val loss: 0.196
step: 1810, train loss: 0.203, val loss: 0.196
step: 1820, train loss: 0.200, val loss: 0.193
step: 1830, train loss: 0.196, val loss: 0.196
step: 1840, train loss: 0.202, val loss: 0.196
step: 1850, train loss: 0.201, val loss: 0.195
step: 1860, train loss: 0.206, val loss: 0.201
step: 1870, train loss: 0.202, val loss: 0.192
step: 1880, train loss: 0.202, val loss: 0.199
step: 1890, train loss: 0.201, val loss: 0.198
step: 1900, train loss: 0.196, val loss: 0.201
step: 1910, train loss: 0.198, val loss: 0.200
step: 1920, train loss: 0.203, val loss: 0.199
step: 1930, train loss: 0.201, val loss: 0.196
step: 1940, train loss: 0.197, val loss: 0.193
step: 1950, train loss: 0.197, val loss: 0.190
step: 1960, train loss: 0.195, val loss: 0.197
step: 1970, train loss: 0.199, val loss: 0.197
step: 1980, train loss: 0.198, val loss: 0.199
step: 1990, train loss: 0.201, val loss: 0.193
step: 2000, train loss: 0.198, val loss: 0.197
step: 2010, train loss: 0.197, val loss: 0.197
step: 2020, train loss: 0.204, val loss: 0.196
step: 2030, train loss: 0.202, val loss: 0.200
step: 2040, train loss: 0.207, val loss: 0.192
step: 2050, train loss: 0.202, val loss: 0.193
step: 2060, train loss: 0.203, val loss: 0.193
step: 2070, train loss: 0.200, val loss: 0.198
step: 2080, train loss: 0.198, val loss: 0.192
step: 2090, train loss: 0.203, val loss: 0.197
step: 2100, train loss: 0.201, val loss: 0.197
step: 2110, train loss: 0.202, val loss: 0.198
step: 2120, train loss: 0.195, val loss: 0.195
step: 2130, train loss: 0.202, val loss: 0.197
step: 2140, train loss: 0.200, val loss: 0.196
step: 2150, train loss: 0.194, val loss: 0.199
step: 2160, train loss: 0.204, val loss: 0.196
step: 2170, train loss: 0.196, val loss: 0.202
step: 2180, train loss: 0.204, val loss: 0.194
step: 2190, train loss: 0.201, val loss: 0.196
step: 2200, train loss: 0.202, val loss: 0.198
step: 2210, train loss: 0.196, val loss: 0.196
step: 2220, train loss: 0.200, val loss: 0.198
step: 2230, train loss: 0.197, val loss: 0.193
step: 2240, train loss: 0.201, val loss: 0.197
step: 2250, train loss: 0.198, val loss: 0.195
step: 2260, train loss: 0.195, val loss: 0.196
step: 2270, train loss: 0.201, val loss: 0.197
step: 2280, train loss: 0.201, val loss: 0.202
step: 2290, train loss: 0.203, val loss: 0.198
step: 2300, train loss: 0.197, val loss: 0.198
step: 2310, train loss: 0.199, val loss: 0.200
step: 2320, train loss: 0.204, val loss: 0.199
step: 2330, train loss: 0.201, val loss: 0.197
step: 2340, train loss: 0.204, val loss: 0.196
step: 2350, train loss: 0.194, val loss: 0.197
step: 2360, train loss: 0.198, val loss: 0.200
step: 2370, train loss: 0.200, val loss: 0.196
step: 2380, train loss: 0.197, val loss: 0.198
step: 2390, train loss: 0.203, val loss: 0.198
step: 2400, train loss: 0.199, val loss: 0.194
step: 2410, train loss: 0.199, val loss: 0.192
step: 2420, train loss: 0.199, val loss: 0.195
step: 2430, train loss: 0.202, val loss: 0.199
step: 2440, train loss: 0.199, val loss: 0.201
step: 2450, train loss: 0.202, val loss: 0.191
step: 2460, train loss: 0.202, val loss: 0.198
step: 2470, train loss: 0.193, val loss: 0.193
step: 2480, train loss: 0.200, val loss: 0.195
step: 2490, train loss: 0.197, val loss: 0.199
step: 2500, train loss: 0.204, val loss: 0.193
step: 2510, train loss: 0.198, val loss: 0.198
step: 2520, train loss: 0.195, val loss: 0.195
step: 2530, train loss: 0.195, val loss: 0.196
step: 2540, train loss: 0.199, val loss: 0.196
step: 2550, train loss: 0.198, val loss: 0.198
step: 2560, train loss: 0.202, val loss: 0.200
step: 2570, train loss: 0.194, val loss: 0.196
step: 2580, train loss: 0.198, val loss: 0.191
step: 2590, train loss: 0.198, val loss: 0.199
step: 2600, train loss: 0.202, val loss: 0.196
step: 2610, train loss: 0.201, val loss: 0.200
step: 2620, train loss: 0.198, val loss: 0.197
step: 2630, train loss: 0.203, val loss: 0.197
step: 2640, train loss: 0.199, val loss: 0.198
step: 2650, train loss: 0.198, val loss: 0.192
step: 2660, train loss: 0.202, val loss: 0.203
step: 2670, train loss: 0.200, val loss: 0.199
step: 2680, train loss: 0.199, val loss: 0.199
step: 2690, train loss: 0.194, val loss: 0.197
step: 2700, train loss: 0.197, val loss: 0.197
step: 2710, train loss: 0.198, val loss: 0.194
step: 2720, train loss: 0.193, val loss: 0.202
step: 2730, train loss: 0.204, val loss: 0.202
step: 2740, train loss: 0.204, val loss: 0.193
step: 2750, train loss: 0.200, val loss: 0.196
step: 2760, train loss: 0.207, val loss: 0.197
step: 2770, train loss: 0.204, val loss: 0.199
step: 2780, train loss: 0.197, val loss: 0.196
step: 2790, train loss: 0.199, val loss: 0.197
step: 2800, train loss: 0.199, val loss: 0.195
step: 2810, train loss: 0.201, val loss: 0.198
step: 2820, train loss: 0.196, val loss: 0.196
step: 2830, train loss: 0.201, val loss: 0.195
step: 2840, train loss: 0.203, val loss: 0.192
step: 2850, train loss: 0.197, val loss: 0.196
step: 2860, train loss: 0.204, val loss: 0.195
step: 2870, train loss: 0.197, val loss: 0.201
step: 2880, train loss: 0.202, val loss: 0.199
step: 2890, train loss: 0.198, val loss: 0.190
step: 2900, train loss: 0.198, val loss: 0.196
step: 2910, train loss: 0.201, val loss: 0.196
step: 2920, train loss: 0.206, val loss: 0.195
step: 2930, train loss: 0.196, val loss: 0.199
step: 2940, train loss: 0.201, val loss: 0.195
step: 2950, train loss: 0.204, val loss: 0.195
